handle,name,file,seconds
270,statichum4,statichum4.wav,1.215
299,Doorslam,Doorslam.wav,2.261
300,flipup2,flipup2.wav,2.398
301,putdown,putdown.wav,0.806
302,change screen1,change screen1.wav,0.724
303,change screen3,change screen3.wav,1.422
304,scream op5-6,scream op5-6.wav,3.652
314,thud2,thud2.wav,0.369
315,movement (2),movement (2).wav,25.813
316,thud3,thud3.wav,0.461
320,thud4,thud4.wav,0.264
321,thud5,thud5.wav,0.307
328,tape play,tape play.wav,10.000
329,tape stop,tape stop.wav,0.378
342,slide1,slide1.wav,0.867
343,slide2,slide2.wav,0.822
344,slide3,slide3.wav,0.680
345,blip,blip.wav,0.046
348,tone,tone.wav,0.262
350,shock2,shock2.wav,0.840
359,SingleSolidWoodenK_CRT03_09_4,SingleSolidWoodenK_CRT03_09_4.wav,1.719
360,righttoleft3,righttoleft3.wav,2.748
361,lefttoright3,lefttoright3.wav,3.016
376,DOOR-KN_23_GEN-HDF09699,DOOR-KN_23_GEN-HDF09699.wav,1.791
383,puke2,puke2.wav,0.433
387,honk,honk.wav,0.441
388,going to get inside_2,going to get inside_2.wav,3.772
389,take me with you,take me with you.wav,2.661
391,ventshort_3,ventshort_3.wav,1.683
